City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,East London,ZA,-33.0153,27.9116,54.54,100,100,16.11,mist
1,Kruisfontein,ZA,-34.0033,24.7314,51.89,74,88,17.07,light rain
2,Piney Green,US,34.716,-77.3202,81.18,94,75,0.0,light rain
3,Kayes,ML,14.0,-11.0,84.02,70,72,8.77,light rain
4,Busselton,AU,-33.65,115.3333,50.43,81,28,4.52,scattered clouds
5,Madinat Sittah Uktubar,EG,29.8167,31.05,89.2,30,0,14.65,clear sky
6,Henties Bay,NA,-22.116,14.2845,56.59,77,0,10.83,clear sky
7,Rikitea,PF,-23.1203,-134.9692,71.92,82,85,15.66,overcast clouds
8,Portsmouth,GB,50.799,-1.0913,75.0,68,98,8.01,overcast clouds
9,General Roca,AR,-39.0333,-67.5833,64.62,14,60,20.04,broken clouds
10,Vaini,TO,-21.2,-175.2,69.96,94,20,5.75,few clouds
11,Albany,US,42.6001,-73.9662,85.68,67,70,3.0,broken clouds
12,Severo-Kurilsk,RU,50.6789,156.125,52.3,96,95,12.93,overcast clouds
13,Qaanaaq,GL,77.484,-69.3632,31.75,63,8,4.59,clear sky
14,Kapaa,US,22.0752,-159.319,77.32,86,40,12.66,light rain
15,Bethel,US,41.3712,-73.414,84.79,68,100,5.75,overcast clouds
16,Biltine,TD,14.5333,20.9167,90.09,41,86,2.71,overcast clouds
17,Paamiut,GL,61.994,-49.6678,40.91,93,100,4.94,overcast clouds
18,Bluff,NZ,-46.6,168.3333,44.8,87,49,5.46,scattered clouds
19,Butaritari,KI,3.0707,172.7902,81.54,75,98,14.81,overcast clouds
20,Eureka,US,40.8021,-124.1637,54.21,77,20,6.26,few clouds
21,Jamestown,US,42.097,-79.2353,86.02,59,0,8.05,clear sky
22,Mataura,NZ,-46.1927,168.8643,44.47,97,18,2.24,few clouds
23,Carnarvon,AU,-24.8667,113.6333,66.02,62,75,21.03,broken clouds
24,Castro,BR,-24.7911,-50.0119,57.51,56,81,10.16,broken clouds
25,Yakima,US,46.4665,-120.6678,69.19,57,0,5.75,clear sky
26,Noumea,NC,-22.2763,166.4572,62.58,74,21,9.98,few clouds
27,Hilo,US,19.7297,-155.09,77.29,73,0,8.05,clear sky
28,Kavieng,PG,-2.5744,150.7967,82.11,70,71,13.51,broken clouds
29,Bonthe,SL,7.5264,-12.505,78.39,81,100,15.52,light rain
30,Adrar,MR,20.5022,-10.0711,96.85,31,50,16.84,scattered clouds
31,Ushuaia,AR,-54.8,-68.3,42.46,87,0,6.91,clear sky
32,Puerto Ayora,EC,-0.7393,-90.3518,71.56,92,84,7.0,broken clouds
33,Kaitangata,NZ,-46.2817,169.8464,39.9,94,14,4.59,few clouds
34,Avarua,CK,-21.2078,-159.775,66.25,100,8,2.3,clear sky
35,Bredasdorp,ZA,-34.5322,20.0403,56.52,51,19,17.27,few clouds
36,Nikolskoye,RU,59.7035,30.7861,67.91,72,31,9.51,scattered clouds
37,Vangaindrano,MG,-23.35,47.6,67.91,86,32,6.85,scattered clouds
38,Pundaguitan,PH,6.3711,126.1689,82.13,72,100,3.94,light rain
39,Upernavik,GL,72.7868,-56.1549,37.83,81,25,19.55,scattered clouds
40,Port Lincoln,AU,-34.7333,135.8667,52.27,64,100,17.4,overcast clouds
41,Lulea,SE,65.5842,22.1547,62.67,51,0,8.05,clear sky
42,Mar Del Plata,AR,-38.0023,-57.5575,58.95,35,0,16.11,clear sky
43,Punta Arenas,CL,-53.15,-70.9167,46.51,81,75,10.36,broken clouds
44,Coos Bay,US,43.3665,-124.2179,59.23,94,20,4.61,mist
45,Sitka,US,57.0531,-135.33,57.09,94,100,8.05,moderate rain
46,Cam Ranh,VN,11.9214,109.1591,80.56,89,20,2.3,few clouds
47,Trebechovice Pod Orebem,CZ,50.201,15.9922,77.85,76,5,4.0,clear sky
48,Asau,RO,46.4333,26.4,83.32,40,88,1.57,overcast clouds
49,Manggar,ID,-2.8833,108.2667,80.06,83,100,10.22,overcast clouds
50,Kargasok,RU,59.0556,80.8572,44.42,79,28,2.82,scattered clouds
51,Plettenberg Bay,ZA,-34.0527,23.3716,54.91,59,100,13.42,overcast clouds
52,Constitucion,CL,-35.3333,-72.4167,61.29,62,12,7.63,few clouds
53,Cape Town,ZA,-33.9258,18.4232,60.12,52,20,21.85,few clouds
54,Mandalgovi,MN,45.7625,106.2708,44.42,78,20,12.19,few clouds
55,Sambava,MG,-14.2667,50.1667,70.97,89,14,5.82,light rain
56,Tuatapere,NZ,-46.1333,167.6833,41.99,93,55,3.18,broken clouds
57,Chuy,UY,-33.6971,-53.4616,53.15,55,5,6.42,clear sky
58,Hermanus,ZA,-34.4187,19.2345,55.8,54,25,21.92,scattered clouds
59,Airai,TL,-8.9266,125.4092,57.49,92,36,3.02,scattered clouds
60,Hobart,AU,-42.8794,147.3294,52.27,86,100,4.61,overcast clouds
61,Weyburn,CA,49.6668,-103.8511,61.02,63,0,14.97,clear sky
62,Fairbanks,US,64.8378,-147.7164,50.81,92,100,0.0,mist
63,Lebu,CL,-37.6167,-73.65,55.62,63,85,4.03,overcast clouds
64,Kjopsvik,NO,68.097,16.3742,51.67,77,100,3.91,overcast clouds
65,Luderitz,NA,-26.6481,15.1594,66.34,43,0,24.92,clear sky
66,Provideniya,RU,64.3833,-173.3,48.27,86,100,4.92,overcast clouds
67,Faanui,PF,-16.4833,-151.75,78.57,68,61,11.74,broken clouds
68,Riverton,US,40.5219,-111.9391,83.3,32,0,8.99,clear sky
69,Dingle,PH,10.9995,122.6711,77.04,89,100,3.87,overcast clouds
70,Praia,CV,14.9215,-23.5087,84.74,65,75,23.02,broken clouds
71,Prince Rupert,CA,54.3161,-130.3201,60.89,97,100,32.21,light rain
72,Atuona,PF,-9.8,-139.0333,76.55,70,41,21.79,scattered clouds
73,Lipari,IT,38.4674,14.954,84.33,61,0,6.46,clear sky
74,Vysokogornyy,RU,50.1167,139.15,49.08,97,92,2.48,overcast clouds
75,Hofn,IS,64.2539,-15.2082,53.62,87,100,2.3,light intensity drizzle
76,Codrington,AU,-38.2667,141.9667,47.62,96,100,10.45,overcast clouds
77,Tuktoyaktuk,CA,69.4541,-133.0374,42.8,100,100,9.22,light intensity drizzle
78,Burnie,AU,-41.0667,145.9167,54.95,81,100,7.99,overcast clouds
79,Poum,NC,-20.2333,164.0167,71.51,70,4,16.06,clear sky
80,Tazovskiy,RU,67.4667,78.7,39.47,72,13,7.14,few clouds
81,Meulaboh,ID,4.1363,96.1285,76.12,90,100,3.02,moderate rain
82,Gouyave,GD,12.1646,-61.7296,82.2,78,96,14.63,overcast clouds
83,Ahuimanu,US,21.4447,-157.8378,76.86,78,20,6.91,few clouds
84,La Palma,US,33.8464,-118.0467,75.18,81,100,1.01,overcast clouds
85,Kyzyl-Suu,KG,42.3414,78.0056,56.89,59,51,3.42,broken clouds
86,Machali,CL,-34.1833,-70.6667,63.68,36,0,0.0,clear sky
87,Tulum,MX,20.2167,-87.4667,85.44,73,39,5.97,scattered clouds
88,Bonavista,CA,48.6499,-53.1147,68.81,61,75,11.95,broken clouds
89,Zhigansk,RU,66.7697,123.3711,45.14,90,100,8.01,overcast clouds
90,Kawalu,ID,-7.3817,108.2082,66.72,95,95,1.14,overcast clouds
91,Nome,US,64.5011,-165.4064,33.87,93,0,0.0,clear sky
92,San Patricio,US,28.017,-97.5169,87.84,58,6,11.48,clear sky
93,Coquimbo,CL,-29.9533,-71.3436,53.33,87,100,3.44,overcast clouds
94,Novaya Lyada,RU,52.7131,41.6387,81.14,27,100,6.96,overcast clouds
95,Hasaki,JP,35.7333,140.8333,68.4,90,100,15.35,overcast clouds
96,Krasnyy Chikoy,RU,50.3643,108.7512,40.95,94,13,4.09,few clouds
97,Tenenkou,ML,14.4572,-4.9169,85.53,57,61,8.39,broken clouds
98,Pisco,PE,-13.7,-76.2167,60.03,88,100,5.75,mist
99,Ilulissat,GL,69.2167,-51.1,51.82,58,75,14.97,broken clouds
100,Norrtalje,SE,59.758,18.705,62.83,67,100,12.73,overcast clouds
101,Mehamn,NO,71.0357,27.8492,46.31,76,75,13.8,broken clouds
102,Tevaitoa,PF,-16.7833,-151.5,78.42,71,93,12.06,overcast clouds
103,Inirida,CO,3.8653,-67.9239,75.24,93,99,2.95,overcast clouds
104,Sur,OM,22.5667,59.5289,86.22,58,26,8.03,scattered clouds
105,Geraldton,AU,-28.7667,114.6,45.01,87,0,8.05,clear sky
106,Neiafu,TO,-18.65,-173.9833,63.28,100,20,0.0,few clouds
107,Turkmenabat,TM,39.0733,63.5786,89.58,12,0,2.3,clear sky
108,Narsaq,GL,60.9167,-46.05,48.42,83,100,4.12,overcast clouds
109,Port Hardy,CA,50.6996,-127.4199,60.98,88,75,8.05,broken clouds
110,Sebastian,US,35.1668,-94.2669,87.08,50,98,6.8,overcast clouds
111,Victoria,HK,22.2855,114.1577,86.38,84,18,4.0,few clouds
112,Gidam,IN,18.9833,81.4,76.08,92,80,0.58,broken clouds
113,Shenzhen,CN,22.5455,114.0683,86.27,93,12,4.0,few clouds
114,Biograd Na Moru,HR,43.9433,15.4519,84.9,56,96,14.34,overcast clouds
115,Katsuura,JP,35.1333,140.3,73.15,91,98,14.88,overcast clouds
116,Yellowknife,CA,62.456,-114.3525,52.32,87,75,6.91,broken clouds
117,Baykit,RU,61.67,96.37,37.89,95,78,13.82,broken clouds
118,Moron,AR,-34.6534,-58.6198,56.8,47,0,6.42,clear sky
119,Omboue,GA,-1.5746,9.2618,77.88,73,89,8.93,overcast clouds
120,Baruun-Urt,MN,46.6806,113.2792,48.74,82,98,14.5,light rain
121,Harper,LR,4.375,-7.7169,78.58,75,72,11.54,broken clouds
122,Clyde River,CA,70.4692,-68.5914,37.63,93,100,6.91,light intensity drizzle
123,Defiance,US,41.3334,-84.45,83.07,83,0,9.22,clear sky
124,Kloulklubed,PW,7.0419,134.2556,79.3,75,100,12.3,overcast clouds
125,Freeport,US,40.6576,-73.5832,86.29,64,40,10.36,scattered clouds
126,Attur,IN,11.6,78.6167,81.03,77,76,4.61,broken clouds
127,Nhulunbuy,AU,-12.2333,136.7667,75.81,88,75,8.05,broken clouds
128,Slave Lake,CA,55.2834,-114.769,55.38,82,100,0.0,overcast clouds
129,Jiuquan,CN,39.7432,98.5174,70.0,32,59,10.27,broken clouds
130,Sao Domingos,BR,-13.3983,-46.3183,91.15,16,9,9.71,clear sky
131,Grindavik,IS,63.8424,-22.4338,57.15,94,100,28.77,overcast clouds
132,Saskylakh,RU,71.9167,114.0833,44.33,85,97,11.16,overcast clouds
133,Yar-Sale,RU,66.8333,70.8333,46.09,98,100,10.65,moderate rain
134,Junqueiro,BR,-9.9253,-36.4758,79.3,61,42,9.35,scattered clouds
135,Belyy Yar,RU,53.6039,91.3903,64.29,60,0,8.95,clear sky
136,Karasjok,NO,69.4719,25.5112,44.83,61,94,14.03,overcast clouds
137,Kudahuvadhoo,MV,2.6708,72.8944,81.46,75,100,20.47,overcast clouds
138,Moree,AU,-29.4667,149.85,59.88,69,100,14.9,light rain
139,Leninskoye,KZ,41.7589,69.3864,74.79,21,0,2.64,clear sky
140,Port Alfred,ZA,-33.5906,26.891,55.18,83,100,10.0,overcast clouds
141,Luganville,VU,-15.5333,167.1667,76.12,84,86,13.73,overcast clouds
142,Najran,SA,17.4924,44.1277,92.05,14,30,15.19,scattered clouds
143,Beisfjord,NO,68.3751,17.5988,53.04,95,100,3.98,overcast clouds
144,Pondicherry,IN,11.93,79.83,83.23,77,63,7.36,broken clouds
145,Emerald,AU,-23.5333,148.1667,62.74,100,75,12.66,broken clouds
146,Taperoa,BR,-7.2075,-36.8267,88.05,32,52,12.75,broken clouds
147,Freetown,SL,8.484,-13.2299,78.51,83,75,11.5,moderate rain
148,La Ronge,CA,55.1001,-105.2842,61.05,72,0,13.8,clear sky
149,Talnakh,RU,69.4865,88.3972,36.21,88,64,6.26,broken clouds
150,Eydhafushi,MV,5.1033,73.0708,80.47,83,92,17.58,overcast clouds
151,Toamasina,MG,-18.1667,49.3833,73.4,83,75,8.05,broken clouds
152,Hithadhoo,MV,-0.6,73.0833,80.78,75,95,18.12,overcast clouds
153,Cherskiy,RU,68.75,161.3,43.14,88,6,8.48,clear sky
154,El Sauzal,MX,31.9,-116.6833,68.41,83,28,6.6,scattered clouds
155,Salalah,OM,17.0151,54.0924,77.09,94,75,9.22,broken clouds
156,Karratha,AU,-20.7377,116.8463,70.43,48,6,4.92,clear sky
157,Collie,AU,-33.3667,116.15,48.45,72,99,2.35,overcast clouds
158,Port Keats,AU,-14.25,129.55,73.58,75,7,2.24,clear sky
159,Rio Brilhante,BR,-21.8019,-54.5464,76.5,50,100,8.3,overcast clouds
160,Ancud,CL,-41.8697,-73.8203,49.77,68,100,2.42,overcast clouds
161,Thompson,CA,55.7435,-97.8558,53.76,94,100,11.5,overcast clouds
162,Lorengau,PG,-2.0226,147.2712,81.01,82,72,11.01,broken clouds
163,Saldanha,ZA,-33.0117,17.9442,62.65,59,1,25.77,clear sky
164,Matay,EG,28.419,30.7792,98.04,24,0,11.86,clear sky
165,Tulancingo,MX,20.0833,-98.3667,68.11,63,38,2.62,scattered clouds
166,Barrow,US,71.2906,-156.7887,37.42,100,100,8.05,mist
167,Kommunisticheskiy,RU,61.6789,64.4819,62.33,64,100,5.59,overcast clouds
168,Naze,JP,28.3667,129.4833,81.52,81,42,6.69,scattered clouds
169,Torbay,CA,47.6666,-52.7314,73.38,67,75,20.71,broken clouds
170,Saint-Pierre,RE,-21.3393,55.4781,73.08,84,100,3.44,overcast clouds
171,Souillac,MU,-20.5167,57.5167,71.98,83,40,0.0,scattered clouds
172,Chunoyar,RU,57.4467,97.3217,39.74,73,26,12.12,scattered clouds
173,Dikson,RU,73.5069,80.5464,40.01,91,100,5.44,overcast clouds
174,Warrington,GB,53.3925,-2.5802,69.89,67,75,11.5,broken clouds
175,Srednekolymsk,RU,67.45,153.6833,40.89,87,1,11.95,clear sky
176,Aktau,KZ,43.65,51.2,82.98,36,0,3.62,clear sky
177,New Norfolk,AU,-42.7826,147.0587,51.91,64,96,2.44,overcast clouds
178,Tucuman,AR,-26.8241,-65.2226,62.6,23,5,8.05,clear sky
179,Nouakchott,MR,18.0858,-15.9785,87.73,64,36,8.68,scattered clouds
180,Port Blair,IN,11.6667,92.75,82.44,83,40,2.3,mist
181,Arraial Do Cabo,BR,-22.9661,-42.0278,69.66,68,100,19.57,overcast clouds
182,Ambon,ID,-3.6954,128.1814,78.24,15,40,3.44,scattered clouds
183,Rio Gallegos,AR,-51.6226,-69.2181,46.45,66,75,6.91,broken clouds
184,Northam,GB,51.0333,-4.2167,73.38,43,72,14.85,broken clouds
185,Soe,ID,-9.8607,124.284,63.84,93,30,4.27,scattered clouds
186,Nicoya,CR,10.1483,-85.452,82.31,75,51,2.71,broken clouds
187,Along,IN,28.1667,94.7667,75.38,98,86,0.4,overcast clouds
188,Tiksi,RU,71.6872,128.8694,41.45,94,86,4.52,overcast clouds
189,Rio Grande,BR,-32.035,-52.0986,57.31,60,93,10.2,overcast clouds
190,Qaqortoq,GL,60.7167,-46.0333,42.53,84,100,4.56,overcast clouds
191,Ovalle,CL,-30.5983,-71.2003,73.31,40,0,4.63,clear sky
192,Carhuaz,PE,-9.2819,-77.6447,66.49,42,26,6.26,scattered clouds
193,Tasiilaq,GL,65.6145,-37.6368,48.36,95,100,31.18,moderate rain
194,San Rafael,AR,-34.6177,-68.3301,63.54,17,0,18.92,clear sky
195,Pevek,RU,69.7008,170.3133,38.23,81,89,4.63,overcast clouds
196,Weihai,CN,37.5017,122.1136,70.54,81,100,7.14,light rain
197,La Asuncion,VE,11.0333,-63.8628,87.53,74,90,12.66,overcast clouds
198,Vila Velha,BR,-20.3297,-40.2925,76.95,86,40,21.0,scattered clouds
199,Chokurdakh,RU,70.6333,147.9167,34.97,96,37,8.79,scattered clouds
200,Xai-Xai,MZ,-25.0519,33.6442,72.59,70,0,11.34,clear sky
201,Bubaque,GW,11.2833,-15.8333,79.21,82,100,17.81,moderate rain
202,Alta Floresta,BR,-9.8756,-56.0861,100.22,18,100,10.36,smoke
203,Gunjur,GM,13.2019,-16.7339,89.67,74,75,11.5,moderate rain
204,Sabang,ID,5.8933,95.3214,79.9,80,100,16.6,overcast clouds
205,Khatanga,RU,71.9667,102.5,39.94,94,100,19.8,light rain
206,Port-Gentil,GA,-0.7193,8.7815,82.36,69,20,10.36,few clouds
207,Dunmore Town,BS,25.5,-76.65,84.76,72,1,20.71,clear sky
208,Karsava,LV,56.7841,27.6883,75.04,55,100,3.36,overcast clouds
209,Saint-Philippe,RE,-21.3585,55.7679,72.99,83,71,6.38,broken clouds
210,Fare,PF,-16.7,-151.0167,78.28,69,83,12.28,broken clouds
211,Kamenka,RU,51.3223,42.7678,87.12,16,99,12.64,overcast clouds
212,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,71,92,22.26,overcast clouds
213,Necochea,AR,-38.5473,-58.7368,56.95,37,1,13.87,clear sky
214,Linqing,CN,36.8456,115.7117,68.34,78,100,4.79,overcast clouds
215,Surt,LY,31.2089,16.5887,85.5,57,0,13.24,clear sky
216,Hami,CN,42.8,93.45,76.91,16,1,3.74,clear sky
217,Kalashnikovo,RU,57.2824,35.2262,69.78,51,100,1.14,overcast clouds
218,Makuyuni,TZ,-4.7333,38.1,75.52,57,50,7.29,scattered clouds
219,Kilimatinde,TZ,-5.85,34.95,80.24,33,32,4.45,scattered clouds
220,Arroyo,ES,41.6096,-4.7969,80.64,44,20,2.3,few clouds
221,Abu Dhabi,AE,24.4667,54.3667,93.31,64,0,9.22,clear sky
222,Parambu,BR,-6.2111,-40.6944,93.4,22,53,6.22,broken clouds
223,Durant,US,33.994,-96.3708,87.73,67,0,9.22,clear sky
224,Osorno,CL,-40.5667,-73.15,39.51,93,100,1.14,fog
225,Whitehorse,CA,60.7161,-135.0538,48.97,89,75,2.3,broken clouds
226,Coihaique,CL,-45.5752,-72.0662,41.61,75,0,4.61,clear sky
227,Bambous Virieux,MU,-20.3428,57.7575,71.85,83,40,0.0,scattered clouds
228,Diplo,PK,24.4667,69.584,83.3,70,98,8.3,overcast clouds
229,Ostrovnoy,RU,68.0531,39.5131,48.54,78,87,27.56,overcast clouds
230,Pinega,RU,64.7001,43.3936,59.25,55,100,6.22,overcast clouds
231,Cidreira,BR,-30.1811,-50.2056,54.64,56,98,8.86,overcast clouds
232,Cilegon,ID,-6.0174,106.0538,77.16,84,33,4.97,scattered clouds
233,Kasungu,MW,-13.0333,33.4833,71.85,29,4,6.89,clear sky
234,Farias Brito,BR,-6.9306,-39.5656,88.48,19,45,7.05,scattered clouds
235,Laguna,US,38.421,-121.4238,77.09,74,0,6.91,clear sky
